Symbol,I.HSI,I.HSI,I.HSI,I.HSI
Symbol Name,항셍,항셍,항셍,항셍
2018-01-01,"29,914.05","29,997.96","29,849.31","29,919.15"
2018-01-02,"30,028.29","30,515.31","30,028.29","30,515.31"
2018-01-03,"30,658.73","30,724.32","30,456.76","30,560.95"
2018-01-04,"30,691.71","30,796.93","30,560.43","30,736.48"
2018-01-05,"30,893.86","30,911.01","30,638.53","30,814.64"
2018-01-06,"30,893.86","30,911.01","30,638.53","30,814.64"
2018-01-07,"30,893.86","30,911.01","30,638.53","30,814.64"
2018-01-08,"30,895.09","30,929.15","30,732.54","30,899.53"
2018-01-09,"30,933.51","31,056.70","30,852.43","31,011.41"
2018-01-10,"31,009.24","31,267.57","30,928.58","31,073.72"
2018-01-11,"31,066.21","31,133.18","30,950.07","31,120.39"
2018-01-12,"31,298.05","31,412.54","31,198.36","31,412.54"
2018-01-13,"31,298.05","31,412.54","31,198.36","31,412.54"
2018-01-14,"31,298.05","31,412.54","31,198.36","31,412.54"
2018-01-15,"31,702.56","31,733.18","31,265.25","31,338.87"
2018-01-16,"31,423.62","31,904.75","31,423.62","31,904.75"
2018-01-17,"31,825.52","31,983.41","31,642.27","31,983.41"
2018-01-18,"32,148.45","32,233.81","31,869.70","32,121.94"
2018-01-19,"32,142.16","32,254.89","31,986.00","32,254.89"
2018-01-20,"32,142.16","32,254.89","31,986.00","32,254.89"
2018-01-21,"32,142.16","32,254.89","31,986.00","32,254.89"
2018-01-22,"32,276.96","32,417.23","32,046.84","32,393.41"
2018-01-23,"32,606.14","32,930.70","32,554.23","32,930.70"
2018-01-24,"32,907.23","33,018.71","32,728.51","32,958.69"
2018-01-25,"32,979.38","32,998.05","32,650.22","32,654.45"
2018-01-26,"32,836.28","33,223.58","32,794.13","33,154.12"
2018-01-27,"32,836.28","33,223.58","32,794.13","33,154.12"
2018-01-28,"32,836.28","33,223.58","32,794.13","33,154.12"
2018-01-29,"33,335.48","33,484.08","32,897.04","32,966.89"
2018-01-30,"32,751.72","32,976.75","32,501.35","32,607.29"
