Symbol	FJ.HK.1	FJ.HK.1	FJ.HK.1	FJ.HK.1	FJ.HK.1	FJ.HK.2	FJ.HK.2	FJ.HK.2	FJ.HK.2	FJ.HK.2	FJ.HK.3	FJ.HK.3	FJ.HK.3	FJ.HK.3	FJ.HK.3	FJ.HK.4	FJ.HK.4	FJ.HK.4	FJ.HK.4	FJ.HK.4	FJ.HK.6	FJ.HK.6	FJ.HK.6	FJ.HK.6	FJ.HK.6	FJ.HK.11	FJ.HK.11	FJ.HK.11	FJ.HK.11	FJ.HK.11	FJ.HK.12	FJ.HK.12	FJ.HK.12	FJ.HK.12	FJ.HK.12	FJ.HK.16	FJ.HK.16	FJ.HK.16	FJ.HK.16	FJ.HK.16	FJ.HK.19	FJ.HK.19	FJ.HK.19	FJ.HK.19	FJ.HK.19	FJ.HK.23	FJ.HK.23	FJ.HK.23	FJ.HK.23	FJ.HK.23	FJ.HK.66	FJ.HK.66	FJ.HK.66	FJ.HK.66	FJ.HK.66	FJ.HK.101	FJ.HK.101	FJ.HK.101	FJ.HK.101	FJ.HK.101	FJ.HK.267	FJ.HK.267	FJ.HK.267	FJ.HK.267	FJ.HK.267	FJ.HK.293	FJ.HK.293	FJ.HK.293	FJ.HK.293	FJ.HK.293	FJ.HK.2388	FJ.HK.2388	FJ.HK.2388	FJ.HK.2388	FJ.HK.2388	FJ.HK.5	FJ.HK.5	FJ.HK.5	FJ.HK.5	FJ.HK.5	FJ.HK.144	FJ.HK.144	FJ.HK.144	FJ.HK.144	FJ.HK.144	FJ.HK.883	FJ.HK.883	FJ.HK.883	FJ.HK.883	FJ.HK.883	FJ.HK.941	FJ.HK.941	FJ.HK.941	FJ.HK.941	FJ.HK.941	FJ.HK.1199	FJ.HK.1199	FJ.HK.1199	FJ.HK.1199	FJ.HK.1199	FJ.HK.17	FJ.HK.17	FJ.HK.17	FJ.HK.17	FJ.HK.17	FJ.HK.83	FJ.HK.83	FJ.HK.83	FJ.HK.83	FJ.HK.83	FJ.HK.291	FJ.HK.291	FJ.HK.291	FJ.HK.291	FJ.HK.291	FJ.HK.762	FJ.HK.762	FJ.HK.762	FJ.HK.762	FJ.HK.762	FJ.HK.1088	FJ.HK.1088	FJ.HK.1088	FJ.HK.1088	FJ.HK.1088
Symbol Name	[HK.1]장강실업	[HK.1]장강실업	[HK.1]장강실업	[HK.1]장강실업	[HK.1]장강실업	[HK.2]CLP홀딩스	[HK.2]CLP홀딩스	[HK.2]CLP홀딩스	[HK.2]CLP홀딩스	[HK.2]CLP홀딩스	[HK.3]홍콩중화가스	[HK.3]홍콩중화가스	[HK.3]홍콩중화가스	[HK.3]홍콩중화가스	[HK.3]홍콩중화가스	[HK.4]구룡창	[HK.4]구룡창	[HK.4]구룡창	[HK.4]구룡창	[HK.4]구룡창	[HK.6]홍콩전등	[HK.6]홍콩전등	[HK.6]홍콩전등	[HK.6]홍콩전등	[HK.6]홍콩전등	[HK.11]항생은행	[HK.11]항생은행	[HK.11]항생은행	[HK.11]항생은행	[HK.11]항생은행	[HK.12]핸더슨토지	[HK.12]핸더슨토지	[HK.12]핸더슨토지	[HK.12]핸더슨토지	[HK.12]핸더슨토지	[HK.16]신홍기부동산	[HK.16]신홍기부동산	[HK.16]신홍기부동산	[HK.16]신홍기부동산	[HK.16]신홍기부동산	[HK.19]스와이어태평양	[HK.19]스와이어태평양	[HK.19]스와이어태평양	[HK.19]스와이어태평양	[HK.19]스와이어태평양	[HK.23]동아은행	[HK.23]동아은행	[HK.23]동아은행	[HK.23]동아은행	[HK.23]동아은행	[HK.66]MTR	[HK.66]MTR	[HK.66]MTR	[HK.66]MTR	[HK.66]MTR	[HK.101]항융부동산	[HK.101]항융부동산	[HK.101]항융부동산	[HK.101]항융부동산	[HK.101]항융부동산	[HK.267]중신태부	[HK.267]중신태부	[HK.267]중신태부	[HK.267]중신태부	[HK.267]중신태부	[HK.293]국태항공	[HK.293]국태항공	[HK.293]국태항공	[HK.293]국태항공	[HK.293]국태항공	[HK.2388]중국은행홍콩	[HK.2388]중국은행홍콩	[HK.2388]중국은행홍콩	[HK.2388]중국은행홍콩	[HK.2388]중국은행홍콩	[HK.5]HSBC홀딩스	[HK.5]HSBC홀딩스	[HK.5]HSBC홀딩스	[HK.5]HSBC홀딩스	[HK.5]HSBC홀딩스	[HK.144]초상국국제	[HK.144]초상국국제	[HK.144]초상국국제	[HK.144]초상국국제	[HK.144]초상국국제	[HK.883]시누크	[HK.883]시누크	[HK.883]시누크	[HK.883]시누크	[HK.883]시누크	[HK.941]차이나모바일	[HK.941]차이나모바일	[HK.941]차이나모바일	[HK.941]차이나모바일	[HK.941]차이나모바일	[HK.1199]코스코태평양	[HK.1199]코스코태평양	[HK.1199]코스코태평양	[HK.1199]코스코태평양	[HK.1199]코스코태평양	[HK.17]신세계발전	[HK.17]신세계발전	[HK.17]신세계발전	[HK.17]신세계발전	[HK.17]신세계발전	[HK.83]신화부동산	[HK.83]신화부동산	[HK.83]신화부동산	[HK.83]신화부동산	[HK.83]신화부동산	[HK.291]화윤창업	[HK.291]화윤창업	[HK.291]화윤창업	[HK.291]화윤창업	[HK.291]화윤창업	[HK.762]차이나유니콤	[HK.762]차이나유니콤	[HK.762]차이나유니콤	[HK.762]차이나유니콤	[HK.762]차이나유니콤	[HK.1088]중국신화에너지	[HK.1088]중국신화에너지	[HK.1088]중국신화에너지	[HK.1088]중국신화에너지	[HK.1088]중국신화에너지
2018-01-01	98	99	98	98		80	80	80	80		15	15	15	15		27	27	27	27		66	66	66	66		195	195	193	194		51	52	51	52		130	131	130	130		72	73	72	72		33	34	33	34		46	46	46	46		19	19	19	19		11	11	11	11		12	12	12	12		40	40	39	40		80	80	80	80		20	21	20	20		11	11	11	11		79	80	78	79		8	8	8	8		12	12	12	12		14	14	14	14		28	29	28	28		11	11	10	11		20	21	20	20	
2018-01-02	98	99	98	99		80	80	80	80		15	15	15	15		27	28	27	28		66	66	66	66		195	195	193	195		52	52	52	52		131	132	130	132		73	73	73	73		34	34	34	34		46	46	46	46		19	19	19	19		11	11	11	11		12	12	12	12		40	40	40	40		81	81	80	81		21	21	21	21		11	12	11	12		80	80	79	79		8	8	8	8		12	12	12	12		14	14	14	14		28	29	28	28		11	11	11	11		20	21	20	21	
2018-01-03	99	99	98	98		80	80	79	79		15	15	15	15		28	28	27	28		66	67	66	67		193	195	193	194		52	52	52	52		133	133	131	131		73	74	73	73		34	34	34	34		46	46	46	46		19	19	19	19		11	11	11	11		12	12	12	12		40	40	40	40		81	81	81	81		21	21	21	21		12	12	11	12		79	79	78	78		8	8	8	8		12	12	12	12		14	14	14	14		28	28	27	28		11	11	11	11		21	22	21	21	
2018-01-04	99	99	98	99		80	80	79	79		15	16	15	15		28	31	28	31		67	67	66	67		194	195	193	194		52	53	52	53		132	133	130	133		74	74	73	74		33	34	33	34		46	47	46	46		19	20	19	20		11	11	11	11		12	12	12	12		40	40	39	40		81	81	80	81		21	21	21	21		12	12	12	12		79	79	78	78		8	8	8	8		12	12	12	12		14	14	14	14		28	29	28	28		11	11	11	11		21	22	21	21	
2018-01-05	100	100	99	99		79	80	79	80		16	16	15	16		31	31	30	31		66	67	66	67		193	194	186	194		53	53	52	53		133	135	132	134		74	76	74	75		34	34	33	34		46	46	46	46		20	20	19	20		11	11	11	11		12	13	12	13		40	40	39	39		81	81	81	81		21	21	21	21		12	12	12	12		78	79	78	78		8	8	8	8		12	13	12	12		14	14	14	14		30	31	29	31		11	11	11	11		21	22	21	22	
2018-01-06	100	100	99	99		79	80	79	80		16	16	15	16		31	31	30	31		66	67	66	67		193	194	186	194		53	53	52	53		133	135	132	134		74	76	74	75		34	34	33	34		46	46	46	46		20	20	19	20		11	11	11	11		12	13	12	13		40	40	39	39		81	81	81	81		21	21	21	21		12	12	12	12		78	79	78	78		8	8	8	8		12	13	12	12		14	14	14	14		30	31	29	31		11	11	11	11		21	22	21	22	
2018-01-07	100	100	99	99		79	80	79	80		16	16	15	16		31	31	30	31		66	67	66	67		193	194	186	194		53	53	52	53		133	135	132	134		74	76	74	75		34	34	33	34		46	46	46	46		20	20	19	20		11	11	11	11		12	13	12	13		40	40	39	39		81	81	81	81		21	21	21	21		12	12	12	12		78	79	78	78		8	8	8	8		12	13	12	12		14	14	14	14		30	31	29	31		11	11	11	11		21	22	21	22	
2018-01-08	100	100	99	99		80	80	79	80		15	16	15	16		31	32	31	31		67	67	66	67		194	194	192	192		53	54	53	53		136	136	134	134		77	78	77	78		34	34	33	34		47	47	46	46		20	20	20	20		11	12	11	12		13	13	13	13		39	40	39	40		81	81	80	81		21	21	21	21		12	12	12	12		79	79	78	78		8	8	8	8		12	13	12	12		14	15	14	15		31	31	30	30		11	11	11	11		21	23	21	23	
2018-01-09	100	100	99	99		79	80	79	79		16	16	15	16		31	33	31	33		66	67	66	67		192	192	191	192		53	54	53	54		134	136	134	134		77	78	77	78		33	34	33	34		46	46	46	46		20	20	20	20		12	12	11	12		13	13	12	13		39	40	39	40		80	81	80	81		21	21	21	21		12	12	12	12		78	78	78	78		8	8	8	8		12	13	12	13		14	15	14	15		30	31	29	30		11	11	11	11		23	23	22	23	
