Symbol,I.GDAXI,I.GDAXI,I.GDAXI,I.GDAXI
Symbol Name,독일 DAX,독일 DAX,독일 DAX,독일 DAX
2018-01-01,"12,980.09","12,980.74","12,911.73","12,917.64"
2018-01-02,"12,897.69","12,924.16","12,745.15","12,871.39"
2018-01-03,"12,916.18","13,023.59","12,893.05","12,978.21"
2018-01-04,"13,065.98","13,208.35","13,062.67","13,167.89"
2018-01-05,"13,219.11","13,332.80","13,219.11","13,319.64"
2018-01-06,"13,219.11","13,332.80","13,219.11","13,319.64"
2018-01-07,"13,219.11","13,332.80","13,219.11","13,319.64"
2018-01-08,"13,399.62","13,407.82","13,334.16","13,367.78"
2018-01-09,"13,383.26","13,425.02","13,361.22","13,385.59"
2018-01-10,"13,355.28","13,377.88","13,227.57","13,281.34"
2018-01-11,"13,281.20","13,298.65","13,151.84","13,202.90"
2018-01-12,"13,241.28","13,265.14","13,168.01","13,245.03"
2018-01-13,"13,241.28","13,265.14","13,168.01","13,245.03"
2018-01-14,"13,241.28","13,265.14","13,168.01","13,245.03"
2018-01-15,"13,244.37","13,250.37","13,173.71","13,200.51"
2018-01-16,"13,228.60","13,351.09","13,196.56","13,246.33"
2018-01-17,"13,200.92","13,251.44","13,137.51","13,183.96"
2018-01-18,"13,250.25","13,293.29","13,201.34","13,281.43"
2018-01-19,"13,297.74","13,445.47","13,294.81","13,434.45"
2018-01-20,"13,297.74","13,445.47","13,294.81","13,434.45"
2018-01-21,"13,297.74","13,445.47","13,294.81","13,434.45"
2018-01-22,"13,435.14","13,470.05","13,410.96","13,463.69"
2018-01-23,"13,577.14","13,596.89","13,517.81","13,559.60"
2018-01-24,"13,572.71","13,576.84","13,414.74","13,414.74"
2018-01-25,"13,374.38","13,443.36","13,222.47","13,298.36"
2018-01-26,"13,297.51","13,348.69","13,268.31","13,340.17"
2018-01-27,"13,297.51","13,348.69","13,268.31","13,340.17"
2018-01-28,"13,297.51","13,348.69","13,268.31","13,340.17"
2018-01-29,"13,358.90","13,370.02","13,274.84","13,324.48"
2018-01-30,"13,223.97","13,309.86","13,171.91","13,197.71"
2018-01-31,"13,210.76","13,268.41","13,159.35","13,189.48"
2018-02-01,"13,235.15","13,301.41","12,971.78","13,003.90"
2018-02-02,"12,954.59","12,954.59","12,782.07","12,785.16"
2018-02-03,"12,954.59","12,954.59","12,782.07","12,785.16"
2018-02-04,"12,954.59","12,954.59","12,782.07","12,785.16"
2018-02-05,"12,687.79","12,752.60","12,622.44","12,687.49"
2018-02-06,"12,232.86","12,550.16","12,232.86","12,392.66"
2018-02-07,"12,478.68","12,651.28","12,414.84","12,590.43"
2018-02-08,"12,506.18","12,541.32","12,187.45","12,260.29"
2018-02-09,"12,263.10","12,296.18","12,003.36","12,107.48"
2018-02-10,"12,263.10","12,296.18","12,003.36","12,107.48"
2018-02-11,"12,263.10","12,296.18","12,003.36","12,107.48"
2018-02-12,"12,238.63","12,379.16","12,222.34","12,282.77"
2018-02-13,"12,282.76","12,300.63","12,196.22","12,196.50"
2018-02-14,"12,294.85","12,393.71","12,075.21","12,339.16"
2018-02-15,"12,425.45","12,479.97","12,275.04","12,346.17"
2018-02-16,"12,408.48","12,484.12","12,368.71","12,451.96"
2018-02-17,"12,408.48","12,484.12","12,368.71","12,451.96"
2018-02-18,"12,408.48","12,484.12","12,368.71","12,451.96"
2018-02-19,"12,495.07","12,505.49","12,361.86","12,385.60"
2018-02-20,"12,403.63","12,496.10","12,333.79","12,487.90"
2018-02-21,"12,457.22","12,474.37","12,372.26","12,470.49"
2018-02-22,"12,358.82","12,497.71","12,283.70","12,461.91"
2018-02-23,"12,491.77","12,513.32","12,431.94","12,483.79"
2018-02-24,"12,491.77","12,513.32","12,431.94","12,483.79"
2018-02-25,"12,491.77","12,513.32","12,431.94","12,483.79"
2018-02-26,"12,566.05","12,601.46","12,484.59","12,527.04"
2018-02-27,"12,573.65","12,577.56","12,436.13","12,490.73"
2018-02-28,"12,427.46","12,516.92","12,417.96","12,435.85"
2018-03-01,"12,386.40","12,387.88","12,143.14","12,190.94"
2018-03-02,"12,051.89","12,081.40","11,877.66","11,913.71"
2018-03-03,"12,051.89","12,081.40","11,877.66","11,913.71"
2018-03-04,"12,051.89","12,081.40","11,877.66","11,913.71"
2018-03-05,"11,831.57","12,110.18","11,830.98","12,090.87"
2018-03-06,"12,229.29","12,259.58","12,110.34","12,113.87"
2018-03-07,"12,060.09","12,275.69","12,020.61","12,245.36"
2018-03-08,"12,237.94","12,382.69","12,177.12","12,355.57"
2018-03-09,"12,331.64","12,407.98","12,284.57","12,346.68"
2018-03-10,"12,331.64","12,407.98","12,284.57","12,346.68"
2018-03-11,"12,331.64","12,407.98","12,284.57","12,346.68"
2018-03-12,"12,453.30","12,454.96","12,361.01","12,418.39"
2018-03-13,"12,425.69","12,459.90","12,162.47","12,221.03"
2018-03-14,"12,212.49","12,322.89","12,202.76","12,237.74"
2018-03-15,"12,284.14","12,378.39","12,239.96","12,345.56"
2018-03-16,"12,345.56","12,454.02","12,337.62","12,389.58"
2018-03-17,"12,345.56","12,454.02","12,337.62","12,389.58"
2018-03-18,"12,345.56","12,454.02","12,337.62","12,389.58"
2018-03-19,"12,346.51","12,369.77","12,183.79","12,217.02"
2018-03-20,"12,261.19","12,320.00","12,191.55","12,307.33"
2018-03-21,"12,336.76","12,344.09","12,250.37","12,309.15"
2018-03-22,"12,187.73","12,267.17","12,009.50","12,100.08"
2018-03-23,"11,995.51","12,001.78","11,818.70","11,886.31"
2018-03-24,"11,995.51","12,001.78","11,818.70","11,886.31"
2018-03-25,"11,995.51","12,001.78","11,818.70","11,886.31"
2018-03-26,"11,919.64","11,984.50","11,726.62","11,787.26"
2018-03-27,"11,996.35","12,042.78","11,927.91","11,970.83"
2018-03-28,"11,868.08","11,961.16","11,770.40","11,940.71"
2018-03-29,"11,956.34","12,151.31","11,942.28","12,096.73"
2018-03-30,"11,956.34","12,151.31","11,942.28","12,096.73"
2018-03-31,"11,956.34","12,151.31","11,942.28","12,096.73"
2018-04-01,"11,956.34","12,151.31","11,942.28","12,096.73"
2018-04-02,"11,956.34","12,151.31","11,942.28","12,096.73"
2018-04-03,"11,997.47","12,069.48","11,913.62","12,002.45"
2018-04-04,"12,000.47","12,011.12","11,792.35","11,957.90"
2018-04-05,"12,153.61","12,322.37","12,135.64","12,305.19"
2018-04-06,"12,242.94","12,290.03","12,202.05","12,241.27"
2018-04-07,"12,242.94","12,290.03","12,202.05","12,241.27"
2018-04-08,"12,242.94","12,290.03","12,202.05","12,241.27"
2018-04-09,"12,311.02","12,371.11","12,205.39","12,261.75"
2018-04-10,"12,389.90","12,428.90","12,334.95","12,397.32"
2018-04-11,"12,372.07","12,381.53","12,256.59","12,293.97"
2018-04-12,"12,282.39","12,434.24","12,263.70","12,415.01"
2018-04-13,"12,461.31","12,523.97","12,411.65","12,442.40"
2018-04-14,"12,461.31","12,523.97","12,411.65","12,442.40"
2018-04-15,"12,461.31","12,523.97","12,411.65","12,442.40"
2018-04-16,"12,478.99","12,487.04","12,375.63","12,391.41"
2018-04-17,"12,443.20","12,614.25","12,417.26","12,585.57"
2018-04-18,"12,597.58","12,640.25","12,548.45","12,590.83"
2018-04-19,"12,595.61","12,595.61","12,534.63","12,567.42"
2018-04-20,"12,555.96","12,585.37","12,490.77","12,540.50"
2018-04-21,"12,555.96","12,585.37","12,490.77","12,540.50"
2018-04-22,"12,555.96","12,585.37","12,490.77","12,540.50"
2018-04-23,"12,538.16","12,588.23","12,466.47","12,572.39"
2018-04-24,"12,602.41","12,647.16","12,481.30","12,550.82"
2018-04-25,"12,456.82","12,484.78","12,312.27","12,422.30"
2018-04-26,"12,395.90","12,503.22","12,383.95","12,500.47"
2018-04-27,"12,572.72","12,627.71","12,518.03","12,580.87"
2018-04-28,"12,572.72","12,627.71","12,518.03","12,580.87"
2018-04-29,"12,572.72","12,627.71","12,518.03","12,580.87"
2018-04-30,"12,606.27","12,622.93","12,563.74","12,612.11"
2018-05-01,"12,606.27","12,622.93","12,563.74","12,612.11"
2018-05-02,"12,610.78","12,827.54","12,605.38","12,802.25"
2018-05-03,"12,775.66","12,798.16","12,665.33","12,690.15"
2018-05-04,"12,733.19","12,819.60","12,707.86","12,819.60"
2018-05-05,"12,733.19","12,819.60","12,707.86","12,819.60"
2018-05-06,"12,733.19","12,819.60","12,707.86","12,819.60"
2018-05-07,"12,827.43","12,961.05","12,813.55","12,948.14"
